overall,round,team,player,nat,pos,age,birthMonth,to,amateurTeam,amateurLeage,nhl_a,nhl_pts,nhl_plusMinus,nhl_pim,nhlG_g,nhlG_w,nhlG_l,nhlG_tiesOT,nhlG_saveP,nhlG_avgGoalsAgainst,pointShare
1,1,New York Rangers,Alexis Lafreniere,CA,LW,18,10,2025,Rimouski Oceanic ,QMJHL,101,193,-6,156,,,,,,,17.8
2,1,Los Angeles Kings,Quinton Byfield,CA,C,18,8,2025,Sudbury Wolves ,OHL,91,142,42,140,,,,,,,13.9
3,1,Ottawa Senators,Tim Stützle,DE,LW,18,1,2025,Adler Mannheim ,Germany,211,326,-65,179,,,,,,,30.3
4,1,Detroit Red Wings,Lucas Raymond,SE,LW,18,3,2025,Frolunda HC ,Sweden,156,254,-76,88,,,,,,,22.6
5,1,Ottawa Senators,Jake Sanderson,US,D,18,7,2025,USA U-18 Development Team ,USDP/USHL,102,127,-12,47,,,,,,,19.9
6,1,Anaheim Ducks,Jamie Drysdale,CA,D,18,5,2025,Erie Otters ,OHL,53,70,-93,54,,,,,,,6.5
7,1,New Jersey Devils,Alexander Holtz,SE,RW,18,1,2025,Djurgardens IF ,Sweden,23,46,-29,34,,,,,,,2.7
8,1,Buffalo Sabres,Jack Quinn,CA,RW,18,9,2025,Ottawa 67's ,OHL,58,97,-26,41,,,,,,,7.8
9,1,Minnesota Wild,Marco Rossi,AT,C,18,9,2025,Ottawa 67's ,OHL,56,101,-9,85,,,,,,,9.1
10,1,Winnipeg Jets,Cole Perfetti,CA,C,18,1,2025,Saginaw Spirit ,OHL,78,125,38,48,,,,,,,12.9
11,1,Nashville Predators,Iaroslav Askarov,RU,G,18,6,2025,Neva St. Petersburg ,Russia-2,1,1,0,0,16,5,7,2,0.899,3.01,2.5
12,1,Florida Panthers,Anton Lundell,FI,C,18,10,2025,HIFK ,Finland,97,157,70,143,,,,,,,15.5
13,1,Carolina Hurricanes,Seth Jarvis,CA,C,18,2,2025,Portland Winterhawks ,WHL,117,213,56,60,,,,,,,24.1
14,1,Edmonton Oilers,Dylan Holloway,CA,C,18,9,2025,Wisconsin ,Big Ten,46,81,20,66,,,,,,,8.2
15,1,Toronto Maple Leafs,Rodion Amirov,RU,LW,18,8,,Salavat Yulaev Ufa ,Russia,,,,,,,,,,,
16,1,Montreal Canadiens,Kaiden Guhle,CA,D,18,1,2025,Prince Albert Raiders ,WHL,42,58,-21,130,,,,,,,8.5
17,1,Chicago Blackhawks,Lukas Reichel,DE,LW,18,5,2025,Eisbaren Berlin ,Germany,34,54,-61,30,,,,,,,2.1
18,1,New Jersey Devils,Dawson Mercer,CA,C,18,10,2025,Chicoutimi Sagueneens ,QMJHL,84,167,-25,87,,,,,,,14.8
19,1,New York Rangers,Braden Schneider,CA,D,18,9,2025,Brandon Wheat Kings ,WHL,51,69,22,59,,,,,,,14.2
20,1,New Jersey Devils,Shakir Mukhamadullin,RU,D,18,1,2025,Salavat Yulaev Ufa ,Russia,8,10,-7,12,,,,,,,1.3
21,1,Columbus Blue Jackets,Yegor Chinakhov,RU,RW,19,2,2025,Omskie Yastreby ,Russia Jr.,37,71,-42,36,,,,,,,4.5
22,1,Washington Capitals,Hendrix Lapierre,CA,C,18,2,2025,Chicoutimi Sagueneens ,QMJHL,22,31,-2,10,,,,,,,2.4
